List Price,Address,,,City,Tax ID,,,,,,,,,,Yr Built,,,,,,,,,SF Total,SF Up+Mn,SF Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/Price,Close Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700000,7204 N WASHBURNE AVE,,,Portland,R219921,,,,,,,,,,1927,,,,,,,,,2696,1960,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000,757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450000,8970 N FORTUNE AVE,,,Portland,R226344,,,,,,,,,,1955,,,,,,,,,1044,1044,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399999,5130 N WILLIS BLVD,,,Portland,R249043,,,,,,,,,,1962,,,,,,,,,888,888,TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599000,7014 N WELLESLEY AVE,,,Portland,R307600,,,,,,,,,,1945,,,,,,,,,2322,1522,tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,607400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499900,7927 N HURST AVE,,,Portland,R292649,,,,,,,,,,1925,,,,,,,,,1609,829,tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,487000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499950,8039 N LOMBARD WAY,,,Portland,R127197,,,,,,,,,,2022,,,,,,,,,1693,1693,Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519950,514950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335000,7523 N EDGEWATER AVE,,,Portland,R154393,,,,,,,,,,1980,,,,,,,,,1035,1035,tax assess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374900,335000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499900,6505 N Knowles AVE,,,Portland,R106688,,,,,,,,,,1943,,,,,,,,,1530,765,p.maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499900,505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689000,4706 N AMHERST ST,,,Portland,R137159,,,,,,,,,,1944,,,,,,,,,2629,1613,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674900,689000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535000,9722 N HUDSON ST,,,Portland,R181330,,,,,,,,,,1996,,,,,,,,,1479,1479,RMLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567000,522500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274900,8080 N BURLINGTON AVE,,,Portland,R591926,,,,,,,,,,2007,,,,,,,,,729,729,Tax Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284900,265000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689000,4701 N WILLAMETTE BLVD,,,Portland,R137156,,,,,,,,,,1943,,,,,,,,,2934,1717,tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689000,690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410000,7569 N LEAVITT AVE,,,Portland,R588193,,,,,,,,,,2007,,,,,,,,,1670,1670,Floor Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,405000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475000,9229 N FORTUNE AVE,,,Portland,R175021,,,,,,,,,,1964,,,,,,,,,1272,1272,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475000,476000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399999,9454 N Tyler ST,,,Portland,Not Found,,,,,,,,,,2022,,,,,,,,,1117,1117,Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399999,395000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435000,5276 N BOWDOIN ST,,,Portland,R291770,,,,,,,,,,1988,,,,,,,,,1382,1382,Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596000,423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619000,8954 N VAN HOUTEN AVE,,,Portland,R137233,,,,,,,,,,1942,,,,,,,,,2688,1644,trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639000,617500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
